TXYEAR,TXMONTH,Treatment,Cancer_Type,Number,Date_Serial
2000,January,Chemotherapy,All Other,3624,36526
2000,January,Chemotherapy,Bladder,5923,36526
2000,January,Chemotherapy,Bone,5806,36526
2000,January,Chemotherapy,Brain,7375,36526
2000,January,Chemotherapy,Breast,7663,36526
2000,January,Chemotherapy,Colorectal,8267,36526
2000,January,Chemotherapy,Gynecologic,4860,36526
2000,January,Chemotherapy,Head and Neck,9396,36526
2000,January,Chemotherapy,Hematologic,9078,36526
2000,January,Chemotherapy,Hepatopancreatobiliary,6501,36526
2000,January,Chemotherapy,Kidney,1363,36526
2000,January,Chemotherapy,Lung,4978,36526
2000,January,Chemotherapy,Prostate,1323,36526
2000,January,Chemotherapy,Skin,2614,36526
2000,January,Chemotherapy,Soft Tissue,1958,36526
2000,January,Chemotherapy,Upper Gastrointestinal,4954,36526
2000,January,Inpatient Days,All Other,8251,36526
2000,January,Inpatient Days,Bladder,6531,36526
2000,January,Inpatient Days,Bone,324,36526
2000,January,Inpatient Days,Brain,9947,36526
2000,January,Inpatient Days,Breast,2063,36526
2000,January,Inpatient Days,Colorectal,7629,36526
2000,January,Inpatient Days,Eye and Orbit,8923,36526
2000,January,Inpatient Days,Gynecologic,4281,36526
2000,January,Inpatient Days,Head and Neck,1629,36526
2000,January,Inpatient Days,Hematologic,6824,36526
2000,January,Inpatient Days,Hepatopancreatobiliary,5879,36526
2000,January,Inpatient Days,Kidney,5284,36526
2000,January,Inpatient Days,Lung,6897,36526
2000,January,Inpatient Days,Prostate,2290,36526
2000,January,Inpatient Days,Skin,3528,36526
2000,January,Inpatient Days,Soft Tissue,3030,36526
2000,January,Inpatient Days,Upper Gastrointestinal,9087,36526
2000,January,Radiation Therapy,All Other,9332,36526
2000,January,Radiation Therapy,Bladder,3266,36526
2000,January,Radiation Therapy,Bone,3012,36526
2000,January,Radiation Therapy,Brain,4783,36526
2000,January,Radiation Therapy,Breast,1098,36526
2000,January,Radiation Therapy,Colorectal,1523,36526
2000,January,Radiation Therapy,Eye and Orbit,1609,36526
2000,January,Radiation Therapy,Gynecologic,213,36526
2000,January,Radiation Therapy,Head and Neck,6764,36526
2000,January,Radiation Therapy,Hematologic,764,36526
2000,January,Radiation Therapy,Hepatopancreatobiliary,7430,36526
2000,January,Radiation Therapy,Kidney,4751,36526
2000,January,Radiation Therapy,Lung,794,36526
2000,January,Radiation Therapy,Prostate,5724,36526
2000,January,Radiation Therapy,Skin,130,36526
2000,January,Radiation Therapy,Soft Tissue,1930,36526
2000,January,Radiation Therapy,Upper Gastrointestinal,1343,36526
2000,January,Surgeries,All Other,3688,36526
2000,January,Surgeries,Bladder,2522,36526
2000,January,Surgeries,Bone,8781,36526
2000,January,Surgeries,Brain,8542,36526
2000,January,Surgeries,Breast,3388,36526
2000,January,Surgeries,Colorectal,4496,36526
2000,January,Surgeries,Gynecologic,9814,36526
2000,January,Surgeries,Head and Neck,1645,36526
2000,January,Surgeries,Hematologic,219,36526
2000,January,Surgeries,Hepatopancreatobiliary,777,36526
2000,January,Surgeries,Kidney,1961,36526
2000,January,Surgeries,Lung,8130,36526
2000,January,Surgeries,Prostate,7043,36526
2000,January,Surgeries,Skin,9319,36526
2000,January,Surgeries,Soft Tissue,1309,36526
2000,January,Surgeries,Upper Gastrointestinal,3942,36526
2000,February,Chemotherapy,All Other,5567,36557
2000,February,Chemotherapy,Bladder,3806,36557
2000,February,Chemotherapy,Bone,6414,36557
2000,February,Chemotherapy,Brain,9317,36557
2000,February,Chemotherapy,Breast,6224,36557
2000,February,Chemotherapy,Colorectal,4887,36557
2000,February,Chemotherapy,Eye and Orbit,2298,36557
2000,February,Chemotherapy,Gynecologic,9408,36557
2000,February,Chemotherapy,Head and Neck,3112,36557
2000,February,Chemotherapy,Hematologic,9954,36557
2000,February,Chemotherapy,Hepatopancreatobiliary,9953,36557
2000,February,Chemotherapy,Kidney,4649,36557
2000,February,Chemotherapy,Lung,7826,36557
2000,February,Chemotherapy,Prostate,1818,36557
2000,February,Chemotherapy,Skin,4885,36557
2000,February,Chemotherapy,Soft Tissue,7212,36557
2000,February,Chemotherapy,Upper Gastrointestinal,6611,36557
2000,February,Inpatient Days,All Other,5132,36557
2000,February,Inpatient Days,Bladder,5471,36557
2000,February,Inpatient Days,Bone,7652,36557
2000,February,Inpatient Days,Brain,6485,36557
2000,February,Inpatient Days,Breast,9970,36557
2000,February,Inpatient Days,Colorectal,5661,36557
2000,February,Inpatient Days,Eye and Orbit,8151,36557
2000,February,Inpatient Days,Gynecologic,4861,36557
2000,February,Inpatient Days,Head and Neck,7058,36557
2000,February,Inpatient Days,Hematologic,6888,36557
2000,February,Inpatient Days,Hepatopancreatobiliary,1609,36557
2000,February,Inpatient Days,Kidney,3215,36557
2000,February,Inpatient Days,Lung,5104,36557
2000,February,Inpatient Days,Prostate,8880,36557
2000,February,Inpatient Days,Skin,940,36557
2000,February,Inpatient Days,Soft Tissue,9693,36557
2000,February,Inpatient Days,Upper Gastrointestinal,2578,36557
2000,February,Radiation Therapy,All Other,8685,36557
2000,February,Radiation Therapy,Bladder,8101,36557
2000,February,Radiation Therapy,Bone,7845,36557
2000,February,Radiation Therapy,Brain,6488,36557
2000,February,Radiation Therapy,Breast,7736,36557
2000,February,Radiation Therapy,Colorectal,9182,36557
2000,February,Radiation Therapy,Eye and Orbit,4598,36557
2000,February,Radiation Therapy,Gynecologic,7305,36557
2000,February,Radiation Therapy,Head and Neck,756,36557
2000,February,Radiation Therapy,Hematologic,4177,36557
2000,February,Radiation Therapy,Hepatopancreatobiliary,5504,36557
2000,February,Radiation Therapy,Kidney,6609,36557
2000,February,Radiation Therapy,Lung,5586,36557
2000,February,Radiation Therapy,Prostate,1432,36557
2000,February,Radiation Therapy,Skin,5799,36557
2000,February,Radiation Therapy,Soft Tissue,293,36557
2000,February,Radiation Therapy,Upper Gastrointestinal,1012,36557
2000,February,Surgeries,All Other,2242,36557
2000,February,Surgeries,Bladder,5275,36557
2000,February,Surgeries,Bone,2757,36557
2000,February,Surgeries,Brain,8326,36557
2000,February,Surgeries,Breast,2441,36557
2000,February,Surgeries,Colorectal,191,36557
2000,February,Surgeries,Eye and Orbit,5351,36557
2000,February,Surgeries,Gynecologic,7413,36557
2000,February,Surgeries,Head and Neck,344,36557
2000,February,Surgeries,Hematologic,7122,36557
2000,February,Surgeries,Hepatopancreatobiliary,5022,36557
2000,February,Surgeries,Kidney,2992,36557
2000,February,Surgeries,Lung,4834,36557
2000,February,Surgeries,Prostate,713,36557
2000,February,Surgeries,Skin,1051,36557
2000,February,Surgeries,Soft Tissue,1779,36557
2000,February,Surgeries,Upper Gastrointestinal,6652,36557
2000,March,Chemotherapy,All Other,3307,36586
2000,March,Chemotherapy,Bladder,7467,36586
2000,March,Chemotherapy,Bone,7034,36586
2000,March,Chemotherapy,Brain,3656,36586
2000,March,Chemotherapy,Breast,8906,36586
2000,March,Chemotherapy,Colorectal,1931,36586
2000,March,Chemotherapy,Eye and Orbit,3466,36586
2000,March,Chemotherapy,Gynecologic,4717,36586
2000,March,Chemotherapy,Head and Neck,2436,36586
2000,March,Chemotherapy,Hematologic,4710,36586
2000,March,Chemotherapy,Hepatopancreatobiliary,9638,36586
2000,March,Chemotherapy,Kidney,1895,36586
2000,March,Chemotherapy,Lung,1208,36586
2000,March,Chemotherapy,Prostate,9239,36586
2000,March,Chemotherapy,Skin,9477,36586
2000,March,Chemotherapy,Soft Tissue,2518,36586
2000,March,Chemotherapy,Upper Gastrointestinal,7847,36586
2000,March,Inpatient Days,All Other,8846,36586
2000,March,Inpatient Days,Bladder,6769,36586
2000,March,Inpatient Days,Bone,520,36586
2000,March,Inpatient Days,Brain,7788,36586
2000,March,Inpatient Days,Breast,7264,36586
2000,March,Inpatient Days,Colorectal,889,36586
2000,March,Inpatient Days,Eye and Orbit,7901,36586
2000,March,Inpatient Days,Gynecologic,8055,36586
2000,March,Inpatient Days,Head and Neck,6650,36586
2000,March,Inpatient Days,Hematologic,5218,36586
2000,March,Inpatient Days,Hepatopancreatobiliary,884,36586
2000,March,Inpatient Days,Kidney,3680,36586
2000,March,Inpatient Days,Lung,7722,36586
2000,March,Inpatient Days,Prostate,5119,36586
2000,March,Inpatient Days,Skin,9053,36586
2000,March,Inpatient Days,Soft Tissue,9441,36586
2000,March,Inpatient Days,Upper Gastrointestinal,2818,36586
2000,March,Radiation Therapy,All Other,8968,36586
2000,March,Radiation Therapy,Bladder,7889,36586
2000,March,Radiation Therapy,Bone,8102,36586
2000,March,Radiation Therapy,Brain,1704,36586
2000,March,Radiation Therapy,Breast,3748,36586
2000,March,Radiation Therapy,Colorectal,2550,36586
2000,March,Radiation Therapy,Eye and Orbit,3198,36586
